,Fungal infection,Allergy,GERD,Chronic cholestasis,Drug Reaction,Peptic ulcer diseae,AIDS,Diabetes ,Gastroenteritis,Bronchial Asthma,Hypertension ,Migraine,Cervical spondylosis,Paralysis (brain hemorrhage),Jaundice,Malaria,Chicken pox,Dengue,Typhoid,hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Alcoholic hepatitis,Tuberculosis,Common Cold,Pneumonia,Dimorphic hemmorhoids(piles),Heart attack,Varicose veins,Hypothyroidism,Hyperthyroidism,Hypoglycemia,Osteoarthristis,Arthritis,(vertigo) Paroymsal  Positional Vertigo,Acne,Urinary tract infection,Psoriasis,Impetigo
172,dischromic _patches,watering_from_eyes,cough,nausea,spotting_ urination,loss_of_appetite,muscle_wasting,excessive_hunger,diarrhoea,fatigue,lack_of_concentration,headache,back_pain,altered_sensorium,dark_urine,diarrhoea,itching,joint_pain,chills,yellowing_of_eyes,dark_urine,loss_of_appetite,fatigue,joint_pain,abdominal_pain,cough,redness_of_eyes,fast_heart_rate,pain_in_anal_region,chest_pain,swollen_legs,fatigue,irritability,headache,swelling_joints,swelling_joints,nausea,scurring,continuous_feel_of_urine,small_dents_in_nails,skin_rash
173,itching,continuous_sneezing,chest_pain,loss_of_appetite,itching,abdominal_pain,high_fever,increased_appetite,sunken_eyes,cough,chest_pain,blurred_and_distorted_vision,weakness_in_limbs,headache,abdominal_pain,muscle_pain,skin_rash,vomiting,vomiting,muscle_pain,loss_of_appetite,yellowing_of_eyes,yellowish_skin,fatigue,swelling_of_stomach,high_fever,sinus_pressure,rusty_sputum,bloody_stool,breathlessness,prominent_veins_on_calf,cold_hands_and_feets,abnormal_menstruation,nausea,painful_walking,movement_stiffness,spinning_movements,pus_filled_pimples,bladder_discomfort,inflammatory_nails,high_fever
174,skin_rash,shivering,stomach_pain,abdominal_pain,skin_rash,passage_of_gases,extra_marital_contacts,polyuria,dehydration,breathlessness,dizziness,excessive_hunger,neck_pain,weakness_of_one_body_side,itching,chills,fatigue,fatigue,fatigue,joint_pain,abdominal_pain,family_history,dark_urine,high_fever,distention_of_abdomen,breathlessness,runny_nose,chills,irritation_in_anus,sweating,fatigue,mood_swings,fatigue,blurred_and_distorted_vision,neck_pain,painful_walking,loss_of_balance,blackheads,foul_smell_of urine,joint_pain,blister
175,nodal_skin_eruptions,chills,acidity,itching,burning_micturition,internal_itching,muscle_wasting,fatigue,diarrhoea,family_history,loss_of_balance,stiff_neck,dizziness,altered_sensorium,vomiting,high_fever,lethargy,high_fever,high_fever,vomiting,yellow_urine,fatigue,nausea,yellowish_skin,fluid_overload,sweating,congestion,fatigue,constipation,chest_pain,cramps,lethargy,mood_swings,excessive_hunger,knee_pain,muscle_weakness,unsteadiness,scurring,continuous_feel_of_urine,skin_peeling,red_sore_around_nose
176,skin_rash,shivering,ulcers_on_tongue,vomiting,spotting_ urination,vomiting,patches_in_throat,weight_loss,vomiting,mucoid_sputum,lack_of_concentration,depression,loss_of_balance,vomiting,weight_loss,sweating,high_fever,headache,headache,yellowish_skin,yellowing_of_eyes,nausea,loss_of_appetite,dark_urine,vomiting,loss_of_appetite,chest_pain,cough,pain_during_bowel_movements,vomiting,bruising,dizziness,weight_loss,drying_and_tingling_lips,hip_joint_pain,stiff_neck,vomiting,skin_rash,burning_micturition,silver_like_dusting,yellow_crust_ooze
177,nodal_skin_eruptions,chills,vomiting,yellowish_skin,itching,indigestion,extra_marital_contacts,restlessness,dehydration,fatigue,headache,irritability,back_pain,weakness_of_one_body_side,high_fever,headache,headache,nausea,nausea,dark_urine,malaise,loss_of_appetite,abdominal_pain,nausea,yellowish_skin,mild_fever,loss_of_smell,high_fever,pain_in_anal_region,sweating,obesity,puffy_face_and_eyes,restlessness,slurred_speech,swelling_joints,swelling_joints,nausea,blackheads,foul_smell_of urine,small_dents_in_nails,skin_rash
178,dischromic _patches,watering_from_eyes,chest_pain,nausea,skin_rash,abdominal_pain,muscle_wasting,lethargy,diarrhoea,cough,dizziness,visual_disturbances,weakness_in_limbs,altered_sensorium,yellowish_skin,nausea,mild_fever,loss_of_appetite,constipation,nausea,receiving_blood_transfusion,yellowing_of_eyes,yellowing_of_eyes,loss_of_appetite,abdominal_pain,yellowing_of_eyes,muscle_pain,sweating,bloody_stool,chest_pain,swollen_legs,enlarged_thyroid,sweating,irritability,painful_walking,movement_stiffness,spinning_movements,scurring,continuous_feel_of_urine,inflammatory_nails,high_fever
179,itching,continuous_sneezing,stomach_pain,loss_of_appetite,stomach_pain,passage_of_gases,patches_in_throat,irregular_sugar_level,vomiting,high_fever,loss_of_balance,acidity,neck_pain,vomiting,dark_urine,diarrhoea,swelled_lymph_nodes,pain_behind_the_eyes,abdominal_pain,abdominal_pain,receiving_unsterile_injections,family_history,joint_pain,abdominal_pain,swelling_of_stomach,swelled_lymph_nodes,continuous_sneezing,malaise,irritation_in_anus,vomiting,swollen_blood_vessels,brittle_nails,fast_heart_rate,palpitations,joint_pain,painful_walking,loss_of_balance,skin_rash,burning_micturition,skin_rash,blister
180,nodal_skin_eruptions,chills,acidity,abdominal_pain,spotting_ urination,internal_itching,high_fever,blurred_and_distorted_vision,sunken_eyes,family_history,lack_of_concentration,headache,dizziness,headache,abdominal_pain,muscle_pain,malaise,back_pain,diarrhoea,diarrhoea,itching,fatigue,fatigue,yellowing_of_eyes,distention_of_abdomen,malaise,chills,phlegm,constipation,breathlessness,fatigue,swollen_extremeties,excessive_hunger,vomiting,knee_pain,muscle_weakness,unsteadiness,pus_filled_pimples,bladder_discomfort,skin_peeling,red_sore_around_nose
181,dischromic _patches,watering_from_eyes,ulcers_on_tongue,yellowing_of_eyes,itching,vomiting,muscle_wasting,obesity,diarrhoea,mucoid_sputum,headache,blurred_and_distorted_vision,loss_of_balance,altered_sensorium,itching,chills,red_spots_over_body,malaise,toxic_look_(typhos),mild_fever,fatigue,yellowish_skin,yellowish_skin,acute_liver_failure,history_of_alcohol_consumption,phlegm,fatigue,chest_pain,pain_during_bowel_movements,chest_pain,cramps,depression,muscle_weakness,fatigue,hip_joint_pain,stiff_neck,vomiting,scurring,continuous_feel_of_urine,silver_like_dusting,yellow_crust_ooze
182,itching,continuous_sneezing,vomiting,itching,skin_rash,indigestion,patches_in_throat,increased_appetite,vomiting,fatigue,chest_pain,excessive_hunger,weakness_in_limbs,vomiting,vomiting,vomiting,itching,muscle_pain,belly_pain,yellowing_of_eyes,lethargy,loss_of_appetite,dark_urine,coma,vomiting,chest_pain,cough,fast_heart_rate,pain_in_anal_region,vomiting,bruising,irritability,irritability,anxiety,swelling_joints,swelling_joints,headache,skin_rash,burning_micturition,small_dents_in_nails,high_fever
183,skin_rash,shivering,cough,vomiting,stomach_pain,loss_of_appetite,high_fever,polyuria,sunken_eyes,cough,loss_of_balance,stiff_neck,neck_pain,headache,fatigue,sweating,skin_rash,red_spots_over_body,chills,muscle_pain,yellowish_skin,yellowing_of_eyes,nausea,stomach_bleeding,yellowish_skin,blood_in_sputum,high_fever,rusty_sputum,bloody_stool,breathlessness,obesity,abnormal_menstruation,abnormal_menstruation,headache,painful_walking,movement_stiffness,spinning_movements,pus_filled_pimples,bladder_discomfort,inflammatory_nails,blister
184,dischromic _patches,watering_from_eyes,acidity,yellowish_skin,burning_micturition,passage_of_gases,extra_marital_contacts,fatigue,dehydration,high_fever,lack_of_concentration,depression,dizziness,weakness_of_one_body_side,high_fever,headache,fatigue,chills,vomiting,joint_pain,loss_of_appetite,family_history,loss_of_appetite,joint_pain,abdominal_pain,vomiting,headache,chills,irritation_in_anus,sweating,swollen_legs,fatigue,fatigue,nausea,joint_pain,painful_walking,loss_of_balance,blackheads,foul_smell_of urine,skin_rash,red_sore_around_nose
185,itching,continuous_sneezing,ulcers_on_tongue,nausea,skin_rash,internal_itching,muscle_wasting,weight_loss,vomiting,breathlessness,headache,irritability,loss_of_balance,vomiting,yellowish_skin,nausea,lethargy,joint_pain,fatigue,vomiting,abdominal_pain,fatigue,abdominal_pain,vomiting,swelling_of_stomach,fatigue,swelled_lymph_nodes,fatigue,constipation,vomiting,prominent_veins_on_calf,weight_gain,mood_swings,blurred_and_distorted_vision,neck_pain,muscle_weakness,unsteadiness,skin_rash,burning_micturition,joint_pain,yellow_crust_ooze
186,skin_rash,shivering,vomiting,loss_of_appetite,stomach_pain,vomiting,patches_in_throat,restlessness,sunken_eyes,mucoid_sputum,chest_pain,visual_disturbances,back_pain,headache,dark_urine,diarrhoea,high_fever,vomiting,high_fever,yellowish_skin,yellow_urine,yellowish_skin,yellowing_of_eyes,high_fever,distention_of_abdomen,weight_loss,malaise,cough,pain_during_bowel_movements,breathlessness,fatigue,mood_swings,weight_loss,excessive_hunger,hip_joint_pain,stiff_neck,vomiting,pus_filled_pimples,bladder_discomfort,silver_like_dusting,skin_rash
187,nodal_skin_eruptions,chills,cough,abdominal_pain,burning_micturition,indigestion,high_fever,lethargy,dehydration,fatigue,dizziness,acidity,neck_pain,weakness_of_one_body_side,abdominal_pain,muscle_pain,headache,fatigue,headache,dark_urine,yellowing_of_eyes,nausea,joint_pain,yellowish_skin,history_of_alcohol_consumption,cough,phlegm,high_fever,pain_in_anal_region,sweating,cramps,lethargy,restlessness,drying_and_tingling_lips,swelling_joints,swelling_joints,headache,blackheads,foul_smell_of urine,small_dents_in_nails,blister
188,itching,continuous_sneezing,chest_pain,yellowing_of_eyes,spotting_ urination,loss_of_appetite,extra_marital_contacts,irregular_sugar_level,diarrhoea,cough,lack_of_concentration,indigestion,dizziness,altered_sensorium,itching,chills,loss_of_appetite,high_fever,nausea,nausea,malaise,yellowing_of_eyes,vomiting,dark_urine,fluid_overload,high_fever,throat_irritation,breathlessness,bloody_stool,chest_pain,bruising,dizziness,sweating,slurred_speech,painful_walking,movement_stiffness,nausea,scurring,continuous_feel_of_urine,inflammatory_nails,red_sore_around_nose
189,skin_rash,shivering,stomach_pain,itching,itching,abdominal_pain,patches_in_throat,blurred_and_distorted_vision,sunken_eyes,high_fever,headache,blurred_and_distorted_vision,loss_of_balance,headache,vomiting,vomiting,swelled_lymph_nodes,headache,constipation,loss_of_appetite,receiving_blood_transfusion,family_history,yellowish_skin,nausea,vomiting,breathlessness,redness_of_eyes,malaise,irritation_in_anus,breathlessness,obesity,puffy_face_and_eyes,diarrhoea,irritability,joint_pain,painful_walking,loss_of_balance,skin_rash,burning_micturition,skin_rash,yellow_crust_ooze
190,nodal_skin_eruptions,chills,ulcers_on_tongue,vomiting,stomach_pain,internal_itching,high_fever,obesity,dehydration,breathlessness,chest_pain,excessive_hunger,back_pain,weakness_of_one_body_side,fatigue,high_fever,malaise,nausea,abdominal_pain,diarrhoea,receiving_unsterile_injections,fatigue,dark_urine,loss_of_appetite,yellowish_skin,sweating,sinus_pressure,phlegm,constipation,sweating,swollen_legs,enlarged_thyroid,excessive_hunger,palpitations,neck_pain,stiff_neck,unsteadiness,pus_filled_pimples,bladder_discomfort,joint_pain,skin_rash
191,dischromic _patches,watering_from_eyes,vomiting,yellowish_skin,burning_micturition,vomiting,extra_marital_contacts,excessive_hunger,diarrhoea,family_history,dizziness,stiff_neck,weakness_in_limbs,altered_sensorium,weight_loss,headache,red_spots_over_body,loss_of_appetite,diarrhoea,mild_fever,itching,yellowish_skin,nausea,abdominal_pain,abdominal_pain,loss_of_appetite,runny_nose,chest_pain,pain_during_bowel_movements,chest_pain,swollen_blood_vessels,brittle_nails,muscle_weakness,vomiting,knee_pain,swelling_joints,vomiting,blackheads,continuous_feel_of_urine,skin_peeling,blister
192,itching,continuous_sneezing,cough,nausea,spotting_ urination,indigestion,muscle_wasting,increased_appetite,vomiting,fatigue,loss_of_balance,depression,dizziness,vomiting,yellowish_skin,nausea,itching,pain_behind_the_eyes,toxic_look_(typhos),yellowing_of_eyes,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,swelling_of_stomach,mild_fever,congestion,fast_heart_rate,pain_in_anal_region,vomiting,prominent_veins_on_calf,swollen_extremeties,irritability,fatigue,swelling_joints,movement_stiffness,headache,skin_rash,bladder_discomfort,small_dents_in_nails,red_sore_around_nose
193,skin_rash,shivering,chest_pain,loss_of_appetite,itching,loss_of_appetite,high_fever,polyuria,dehydration,cough,headache,irritability,loss_of_balance,weakness_of_one_body_side,dark_urine,diarrhoea,skin_rash,back_pain,belly_pain,muscle_pain,lethargy,loss_of_appetite,abdominal_pain,acute_liver_failure,distention_of_abdomen,yellowing_of_eyes,chest_pain,rusty_sputum,bloody_stool,sweating,fatigue,depression,abnormal_menstruation,anxiety,painful_walking,painful_walking,nausea,pus_filled_pimples,foul_smell_of urine,inflammatory_nails,yellow_crust_ooze
194,nodal_skin_eruptions,chills,stomach_pain,abdominal_pain,skin_rash,abdominal_pain,extra_marital_contacts,fatigue,diarrhoea,high_fever,chest_pain,visual_disturbances,back_pain,altered_sensorium,abdominal_pain,muscle_pain,fatigue,malaise,chills,joint_pain,yellowish_skin,family_history,yellowing_of_eyes,coma,history_of_alcohol_consumption,swelled_lymph_nodes,loss_of_smell,chills,irritation_in_anus,chest_pain,cramps,irritability,fatigue,sweating,joint_pain,muscle_weakness,spinning_movements,scurring,continuous_feel_of_urine,skin_rash,skin_rash
195,dischromic _patches,watering_from_eyes,acidity,yellowing_of_eyes,burning_micturition,passage_of_gases,muscle_wasting,weight_loss,vomiting,breathlessness,dizziness,acidity,weakness_in_limbs,vomiting,itching,chills,lethargy,muscle_pain,fatigue,vomiting,dark_urine,fatigue,joint_pain,stomach_bleeding,fluid_overload,malaise,muscle_pain,fatigue,pain_during_bowel_movements,vomiting,bruising,abnormal_menstruation,mood_swings,nausea,neck_pain,swelling_joints,unsteadiness,skin_rash,burning_micturition,joint_pain,high_fever
196,itching,continuous_sneezing,vomiting,vomiting,spotting_ urination,vomiting,patches_in_throat,restlessness,sunken_eyes,family_history,loss_of_balance,indigestion,neck_pain,headache,vomiting,vomiting,high_fever,red_spots_over_body,high_fever,yellowish_skin,abdominal_pain,yellowish_skin,vomiting,joint_pain,vomiting,phlegm,chills,cough,pain_in_anal_region,breathlessness,obesity,fatigue,weight_loss,blurred_and_distorted_vision,knee_pain,movement_stiffness,vomiting,blackheads,bladder_discomfort,skin_peeling,red_sore_around_nose
197,skin_rash,shivering,cough,yellowish_skin,itching,indigestion,high_fever,lethargy,diarrhoea,mucoid_sputum,lack_of_concentration,headache,loss_of_balance,altered_sensorium,fatigue,high_fever,headache,skin_rash,headache,dark_urine,yellow_urine,nausea,fatigue,vomiting,yellowish_skin,chest_pain,fatigue,high_fever,bloody_stool,chest_pain,swollen_legs,weight_gain,restlessness,excessive_hunger,hip_joint_pain,painful_walking,headache,scurring,continuous_feel_of_urine,silver_like_dusting,yellow_crust_ooze
198,nodal_skin_eruptions,chills,chest_pain,nausea,skin_rash,loss_of_appetite,muscle_wasting,irregular_sugar_level,vomiting,cough,chest_pain,excessive_hunger,back_pain,vomiting,weight_loss,sweating,loss_of_appetite,joint_pain,nausea,nausea,yellowing_of_eyes,loss_of_appetite,dark_urine,fatigue,abdominal_pain,blood_in_sputum,cough,breathlessness,irritation_in_anus,vomiting,swollen_blood_vessels,cold_hands_and_feets,sweating,drying_and_tingling_lips,painful_walking,muscle_weakness,nausea,skin_rash,burning_micturition,inflammatory_nails,skin_rash
199,dischromic _patches,watering_from_eyes,stomach_pain,loss_of_appetite,stomach_pain,abdominal_pain,patches_in_throat,blurred_and_distorted_vision,sunken_eyes,high_fever,dizziness,stiff_neck,weakness_in_limbs,headache,high_fever,nausea,mild_fever,vomiting,constipation,loss_of_appetite,malaise,yellowing_of_eyes,nausea,yellowish_skin,swelling_of_stomach,chills,high_fever,sweating,constipation,breathlessness,prominent_veins_on_calf,lethargy,diarrhoea,slurred_speech,joint_pain,stiff_neck,spinning_movements,pus_filled_pimples,bladder_discomfort,skin_rash,high_fever
200,itching,continuous_sneezing,acidity,abdominal_pain,spotting_ urination,passage_of_gases,high_fever,obesity,dehydration,breathlessness,loss_of_balance,depression,neck_pain,weakness_of_one_body_side,dark_urine,diarrhoea,malaise,fatigue,abdominal_pain,abdominal_pain,receiving_blood_transfusion,fatigue,loss_of_appetite,dark_urine,distention_of_abdomen,fatigue,headache,phlegm,pain_in_anal_region,sweating,cramps,dizziness,fast_heart_rate,irritability,neck_pain,movement_stiffness,loss_of_balance,blackheads,foul_smell_of urine,joint_pain,blister
201,skin_rash,shivering,ulcers_on_tongue,yellowing_of_eyes,itching,internal_itching,extra_marital_contacts,excessive_hunger,diarrhoea,family_history,lack_of_concentration,irritability,dizziness,altered_sensorium,abdominal_pain,muscle_pain,red_spots_over_body,high_fever,diarrhoea,mild_fever,receiving_unsterile_injections,yellowish_skin,abdominal_pain,nausea,history_of_alcohol_consumption,weight_loss,swelled_lymph_nodes,chest_pain,bloody_stool,chest_pain,bruising,puffy_face_and_eyes,muscle_weakness,palpitations,knee_pain,painful_walking,vomiting,scurring,continuous_feel_of_urine,skin_peeling,yellow_crust_ooze
202,nodal_skin_eruptions,chills,cough,itching,skin_rash,vomiting,muscle_wasting,increased_appetite,vomiting,mucoid_sputum,headache,visual_disturbances,back_pain,vomiting,itching,chills,itching,headache,toxic_look_(typhos),yellowing_of_eyes,itching,nausea,yellowing_of_eyes,loss_of_appetite,fluid_overload,cough,malaise,fast_heart_rate,irritation_in_anus,vomiting,obesity,enlarged_thyroid,irritability,vomiting,hip_joint_pain,muscle_weakness,headache,skin_rash,burning_micturition,silver_like_dusting,skin_rash
203,dischromic _patches,watering_from_eyes,chest_pain,yellowish_skin,stomach_pain,indigestion,patches_in_throat,polyuria,sunken_eyes,fatigue,dizziness,acidity,weakness_in_limbs,headache,vomiting,vomiting,skin_rash,nausea,belly_pain,muscle_pain,fatigue,loss_of_appetite,joint_pain,abdominal_pain,yellowish_skin,high_fever,phlegm,rusty_sputum,constipation,breathlessness,swollen_legs,brittle_nails,abnormal_menstruation,fatigue,swelling_joints,stiff_neck,nausea,pus_filled_pimples,bladder_discomfort,small_dents_in_nails,high_fever
204,itching,continuous_sneezing,stomach_pain,nausea,burning_micturition,loss_of_appetite,high_fever,weight_loss,dehydration,high_fever,loss_of_balance,indigestion,neck_pain,weakness_of_one_body_side,fatigue,high_fever,fatigue,loss_of_appetite,chills,joint_pain,lethargy,yellowing_of_eyes,vomiting,yellowing_of_eyes,abdominal_pain,breathlessness,throat_irritation,chills,pain_during_bowel_movements,sweating,swollen_blood_vessels,swollen_extremeties,fatigue,anxiety,joint_pain,swelling_joints,spinning_movements,blackheads,foul_smell_of urine,skin_rash,blister
205,skin_rash,shivering,acidity,loss_of_appetite,itching,abdominal_pain,extra_marital_contacts,restlessness,diarrhoea,breathlessness,lack_of_concentration,headache,dizziness,altered_sensorium,weight_loss,sweating,lethargy,pain_behind_the_eyes,vomiting,vomiting,yellowish_skin,family_history,fatigue,acute_liver_failure,swelling_of_stomach,sweating,redness_of_eyes,fatigue,bloody_stool,chest_pain,prominent_veins_on_calf,depression,mood_swings,sweating,neck_pain,painful_walking,loss_of_balance,scurring,continuous_feel_of_urine,joint_pain,red_sore_around_nose
206,nodal_skin_eruptions,chills,ulcers_on_tongue,abdominal_pain,skin_rash,passage_of_gases,muscle_wasting,lethargy,vomiting,family_history,headache,blurred_and_distorted_vision,loss_of_balance,vomiting,high_fever,headache,high_fever,back_pain,fatigue,yellowish_skin,dark_urine,fatigue,yellowish_skin,coma,distention_of_abdomen,loss_of_appetite,sinus_pressure,cough,irritation_in_anus,vomiting,fatigue,irritability,weight_loss,headache,knee_pain,muscle_weakness,unsteadiness,skin_rash,burning_micturition,skin_peeling,skin_rash
207,dischromic _patches,watering_from_eyes,vomiting,yellowing_of_eyes,stomach_pain,internal_itching,patches_in_throat,irregular_sugar_level,sunken_eyes,mucoid_sputum,chest_pain,stiff_neck,weakness_in_limbs,headache,yellowish_skin,diarrhoea,headache,malaise,high_fever,dark_urine,loss_of_appetite,yellowish_skin,nausea,stomach_bleeding,history_of_alcohol_consumption,mild_fever,runny_nose,high_fever,constipation,breathlessness,bruising,abnormal_menstruation,restlessness,blurred_and_distorted_vision,hip_joint_pain,stiff_neck,vomiting,pus_filled_pimples,bladder_discomfort,silver_like_dusting,high_fever
208,itching,continuous_sneezing,cough,itching,burning_micturition,vomiting,high_fever,blurred_and_distorted_vision,dehydration,fatigue,loss_of_balance,depression,neck_pain,weakness_of_one_body_side,abdominal_pain,muscle_pain,loss_of_appetite,muscle_pain,nausea,nausea,yellow_urine,nausea,loss_of_appetite,joint_pain,fluid_overload,yellowing_of_eyes,congestion,breathlessness,pain_during_bowel_movements,sweating,obesity,fatigue,sweating,excessive_hunger,swelling_joints,swelling_joints,headache,blackheads,foul_smell_of urine,small_dents_in_nails,blister
209,skin_rash,shivering,chest_pain,vomiting,spotting_ urination,loss_of_appetite,extra_marital_contacts,obesity,diarrhoea,cough,lack_of_concentration,irritability,dizziness,altered_sensorium,itching,chills,mild_fever,red_spots_over_body,constipation,loss_of_appetite,yellowing_of_eyes,loss_of_appetite,abdominal_pain,vomiting,vomiting,swelled_lymph_nodes,chest_pain,sweating,pain_in_anal_region,chest_pain,swollen_legs,weight_gain,diarrhoea,drying_and_tingling_lips,painful_walking,movement_stiffness,nausea,scurring,continuous_feel_of_urine,inflammatory_nails,red_sore_around_nose
210,nodal_skin_eruptions,chills,stomach_pain,nausea,itching,abdominal_pain,muscle_wasting,excessive_hunger,vomiting,high_fever,headache,visual_disturbances,loss_of_balance,vomiting,vomiting,vomiting,swelled_lymph_nodes,skin_rash,abdominal_pain,abdominal_pain,malaise,yellowing_of_eyes,yellowing_of_eyes,fatigue,abdominal_pain,malaise,loss_of_smell,malaise,irritation_in_anus,vomiting,swollen_blood_vessels,cold_hands_and_feets,fast_heart_rate,slurred_speech,joint_pain,painful_walking,loss_of_balance,skin_rash,burning_micturition,skin_rash,yellow_crust_ooze
211,dischromic _patches,watering_from_eyes,ulcers_on_tongue,loss_of_appetite,stomach_pain,passage_of_gases,patches_in_throat,increased_appetite,sunken_eyes,breathlessness,chest_pain,acidity,back_pain,headache,fatigue,high_fever,malaise,chills,diarrhoea,diarrhoea,receiving_blood_transfusion,family_history,joint_pain,high_fever,swelling_of_stomach,phlegm,muscle_pain,chest_pain,constipation,breathlessness,prominent_veins_on_calf,mood_swings,excessive_hunger,irritability,neck_pain,muscle_weakness,unsteadiness,pus_filled_pimples,bladder_discomfort,joint_pain,skin_rash
212,itching,continuous_sneezing,vomiting,abdominal_pain,burning_micturition,internal_itching,high_fever,polyuria,dehydration,family_history,dizziness,indigestion,neck_pain,weakness_of_one_body_side,weight_loss,sweating,red_spots_over_body,vomiting,toxic_look_(typhos),mild_fever,receiving_unsterile_injections,fatigue,vomiting,dark_urine,distention_of_abdomen,chest_pain,continuous_sneezing,fast_heart_rate,pain_during_bowel_movements,sweating,fatigue,dizziness,muscle_weakness,palpitations,knee_pain,stiff_neck,vomiting,blackheads,foul_smell_of urine,skin_peeling,blister
213,skin_rash,shivering,cough,yellowing_of_eyes,spotting_ urination,vomiting,extra_marital_contacts,fatigue,diarrhoea,mucoid_sputum,loss_of_balance,headache,dizziness,altered_sensorium,high_fever,headache,skin_rash,fatigue,belly_pain,yellowing_of_eyes,itching,yellowish_skin,fatigue,nausea,history_of_alcohol_consumption,blood_in_sputum,fatigue,rusty_sputum,pain_in_anal_region,chest_pain,cramps,puffy_face_and_eyes,irritability,vomiting,hip_joint_pain,swelling_joints,headache,scurring,continuous_feel_of_urine,silver_like_dusting,red_sore_around_nose
214,nodal_skin_eruptions,chills,chest_pain,itching,itching,indigestion,muscle_wasting,restlessness,vomiting,cough,lack_of_concentration,blurred_and_distorted_vision,loss_of_balance,vomiting,yellowish_skin,nausea,fatigue,high_fever,chills,muscle_pain,fatigue,nausea,yellowish_skin,loss_of_appetite,fluid_overload,chills,cough,chills,bloody_stool,vomiting,obesity,enlarged_thyroid,abnormal_menstruation,fatigue,swelling_joints,movement_stiffness,nausea,skin_rash,burning_micturition,small_dents_in_nails,yellow_crust_ooze
215,dischromic _patches,watering_from_eyes,stomach_pain,vomiting,skin_rash,abdominal_pain,patches_in_throat,lethargy,sunken_eyes,high_fever,chest_pain,excessive_hunger,back_pain,headache,dark_urine,muscle_pain,lethargy,headache,vomiting,joint_pain,lethargy,loss_of_appetite,dark_urine,abdominal_pain,vomiting,vomiting,high_fever,fatigue,constipation,breathlessness,swollen_legs,brittle_nails,fatigue,anxiety,painful_walking,muscle_weakness,spinning_movements,pus_filled_pimples,bladder_discomfort,inflammatory_nails,skin_rash
216,itching,continuous_sneezing,acidity,yellowish_skin,burning_micturition,passage_of_gases,high_fever,irregular_sugar_level,dehydration,breathlessness,dizziness,depression,weakness_in_limbs,weakness_of_one_body_side,itching,chills,high_fever,nausea,fatigue,vomiting,yellowish_skin,family_history,loss_of_appetite,yellowing_of_eyes,yellowish_skin,weight_loss,headache,cough,pain_during_bowel_movements,sweating,swollen_blood_vessels,swollen_extremeties,mood_swings,sweating,joint_pain,stiff_neck,loss_of_balance,blackheads,foul_smell_of urine,skin_rash,high_fever
217,skin_rash,shivering,vomiting,loss_of_appetite,spotting_ urination,internal_itching,extra_marital_contacts,blurred_and_distorted_vision,diarrhoea,family_history,loss_of_balance,irritability,neck_pain,altered_sensorium,vomiting,vomiting,headache,loss_of_appetite,high_fever,yellowish_skin,dark_urine,fatigue,abdominal_pain,acute_liver_failure,swelling_of_stomach,cough,swelled_lymph_nodes,high_fever,pain_in_anal_region,chest_pain,prominent_veins_on_calf,depression,weight_loss,headache,neck_pain,swelling_joints,unsteadiness,scurring,continuous_feel_of_urine,joint_pain,blister
218,nodal_skin_eruptions,chills,cough,abdominal_pain,itching,indigestion,muscle_wasting,obesity,vomiting,mucoid_sputum,lack_of_concentration,visual_disturbances,dizziness,vomiting,fatigue,high_fever,loss_of_appetite,pain_behind_the_eyes,headache,dark_urine,loss_of_appetite,yellowish_skin,yellowing_of_eyes,coma,distention_of_abdomen,high_fever,malaise,breathlessness,bloody_stool,vomiting,fatigue,irritability,restlessness,nausea,knee_pain,movement_stiffness,vomiting,skin_rash,burning_micturition,skin_peeling,red_sore_around_nose
219,dischromic _patches,watering_from_eyes,chest_pain,yellowing_of_eyes,skin_rash,loss_of_appetite,patches_in_throat,excessive_hunger,sunken_eyes,fatigue,headache,acidity,loss_of_balance,headache,weight_loss,sweating,mild_fever,back_pain,constipation,nausea,abdominal_pain,nausea,joint_pain,stomach_bleeding,history_of_alcohol_consumption,breathlessness,phlegm,sweating,irritation_in_anus,breathlessness,cramps,abnormal_menstruation,sweating,excessive_hunger,hip_joint_pain,painful_walking,headache,pus_filled_pimples,bladder_discomfort,silver_like_dusting,yellow_crust_ooze
220,itching,continuous_sneezing,stomach_pain,itching,stomach_pain,abdominal_pain,high_fever,increased_appetite,dehydration,high_fever,dizziness,indigestion,back_pain,weakness_of_one_body_side,high_fever,headache,swelled_lymph_nodes,malaise,abdominal_pain,loss_of_appetite,yellowing_of_eyes,loss_of_appetite,vomiting,joint_pain,fluid_overload,sweating,throat_irritation,malaise,constipation,sweating,bruising,fatigue,diarrhoea,drying_and_tingling_lips,swelling_joints,muscle_weakness,nausea,blackheads,foul_smell_of urine,small_dents_in_nails,skin_rash
